GEOID,STATE,median_age,proportion_foreign_born,proportion_married_couple_families,proportion_school_enrolled,proportion_poverty,proportion_no_earners,proportion_veteran,proportion_received_food_stamps,proportion_not_in_labor_force,proportion_with_computing_devices
1,Alabama,39.3,0.034701936400426195,0.4703158146972411,0.24734797424323499,0.15785126627506246,0.18737222586475116,0.0841633859670259,0.8673813691451789,0.4223900692522954,0.8969192052687807
2,Alaska,35,0.07870768570190136,0.49845909403172384,0.2552621589157828,0.10432131900774039,0.11350383960790965,0.1176876617773943,0.8963121879329601,0.32922321358349427,0.9551429415760608
4,Arizona,38.1,0.13025745977336714,0.47331433615906054,0.25258694390899405,0.13498022964993767,0.18412273017772943,0.08671118925357756,0.8977871533937979,0.39401506807035824,0.9439713782863565
5,Arkansas,38.3,0.049282691832409777,0.4776306475838613,0.24971940108996243,0.16010787571377022,0.1804783967897855,0.08113006433754638,0.8867643250522245,0.4163626479952818,0.8981846589437702
6,California,37,0.26498176305760085,0.4947533536002716,0.2703445792152058,0.12250670209144114,0.12419076751516928,0.04839387309457863,0.9047111174461056,0.3609729793016468,0.9522750977372116
8,Colorado,37.1,0.09530791993816021,0.4956919690547108,0.25163494525067714,0.09561742184620534,0.12073892580425523,0.08261053261685093,0.9263402114606729,0.3145057560146223,0.9565574712334128
9,Connecticut,41,0.1481750630316781,0.4770017547827132,0.2556606385772387,0.10031583808403359,0.12682114183862525,0.053812470672897864,0.8851977064732303,0.3400234409294332,0.932327792265788
10,Delaware,41.1,0.09638432740056951,0.4762068449764758,0.24123847569308915,0.11435095363969519,0.1714442374835708,0.08362980310250905,0.8951657976840542,0.3780605359552728,0.942508075371887
11,District of Columbia,34.3,0.13494907444002377,0.2578167324510487,0.2493958287102197,0.15441255459487,0.12740479892679654,0.04121158825893203,0.8746194824961948,0.2863345677817753,0.9439962077238604
12,Florida,42.3,0.20986264982711617,0.4677588011895918,0.23138540654334666,0.13114407871974199,0.19332007581395058,0.08168941770516255,0.8676967717734284,0.4055711592588142,0.9431640150930074
13,Georgia,37.1,0.10292627767898611,0.4705671607679164,0.26954201546729945,0.13916825457823026,0.1393815934582017,0.07636200324452362,0.8808003148219308,0.3643602611746946,0.9315838822084171
15,Hawaii,39.6,0.18214060150065567,0.510316400265043,0.23608159280389265,0.09453474119930615,0.12957221255197757,0.0882923109936218,0.8932303260989981,0.348834536245297,0.936402229872516
16,Idaho,36.8,0.057603787113942956,0.5503248359080263,0.26940465837833255,0.11374184038744999,0.15166937657304497,0.08814506454262247,0.9130514182751206,0.3680980896569637,0.9421778387188575
17,Illinois,38.5,0.1406457885480002,0.4677918282117254,0.25698605808142305,0.11839281249034762,0.13208669601408574,0.05421170593332333,0.8740643232449438,0.34748945550486776,0.9264889949911312
18,Indiana,37.9,0.05417546738869617,0.4798228933795114,0.25590790735666186,0.12502135195951836,0.1440046047364357,0.07075484692798645,0.9096358920018714,0.3606542036659855,0.916990041565606
19,Iowa,38.3,0.05468986408060168,0.4936001686661813,0.25968567495908057,0.1101261817585306,0.13971711534662995,0.07169036846304072,0.9042380513099453,0.3305970838258411,0.9169773640893084
20,Kansas,37,0.0699417038783479,0.5018100651202294,0.27224722890594116,0.11478190284358028,0.13152508584965558,0.07618402041842495,0.9290100005439846,0.3344443105975837,0.9319712074178451
21,Kentucky,39,0.04046245990056832,0.4773725675231273,0.24189692194098814,0.16267734696035793,0.18185087952833232,0.07241700991635927,0.8729813122864211,0.4047202936060859,0.9017057721728935
22,Louisiana,37.4,0.04208871869031554,0.4312084259742161,0.25612889214139856,0.18768124337284525,0.1712506677470126,0.06570713869471284,0.842939392275809,0.4076106645403029,0.8955182399604732
23,Maine,44.7,0.03633111921040259,0.4820545508034126,0.2131293662168789,0.11047538042314389,0.16967866301784823,0.09179059996801721,0.8785617724107981,0.3714968280558657,0.9207934662314556
24,Maryland,38.9,0.15386323105710376,0.4738470188774643,0.2609876934061715,0.09157556539888197,0.11203483377277741,0.07439179606147682,0.8961377693122431,0.3247013878961344,0.9457430903947661
25,Massachusetts,39.6,0.17301810736268444,0.4673528466929556,0.25370810657092163,0.09898734750526811,0.12171173318564321,0.0495731174983767,0.8779645069642152,0.32758101707925275,0.9350048333952243
